 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Ano/mês processamento e Unidade da Federação
Procedimento: 0410010090 PLASTICA MAMARIA RECONSTRUTIVA POS MASTECTOMIA C/ IMPLANTE DE PROTESE
Período:Jan/2008-Jul/2024
"Ano/mês processamento";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Novembro/2023";-;-;1;-;2;-;-;-;-;2;-;-;2;-;-;14;18;10;21;29;1;6;13;1;1;1;4;126
"Dezembro/2023";1;-;1;-;7;-;-;-;1;3;-;1;2;1;1;16;9;1;10;24;1;6;8;1;2;1;1;98
"2024";3;1;17;-;6;-;6;-;3;23;-;6;2;6;-;122;28;59;67;191;20;56;62;2;13;8;13;714
"Janeiro/2024";1;-;3;-;1;-;1;-;-;4;-;-;-;1;-;14;4;11;5;26;4;4;18;1;3;1;1;103
"Fevereiro/2024";1;-;2;-;2;-;3;-;-;4;-;-;1;2;-;20;2;4;4;29;2;10;4;-;1;1;5;97
"Março/2024";-;-;3;-;3;-;-;-;3;2;-;2;1;1;-;10;5;5;9;32;3;11;9;-;4;-;1;104
"Abril/2024";1;-;3;-;-;-;2;-;-;3;-;2;-;1;-;25;2;16;10;28;3;5;7;-;3;2;1;114
"Maio/2024";-;-;3;-;-;-;-;-;-;7;-;-;-;1;-;15;5;9;13;29;2;12;3;-;1;1;1;102
"Junho/2024";-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;17;2;5;17;26;-;6;8;-;1;2;2;89
"Julho/2024";-;-;2;-;-;-;-;-;-;2;-;2;-;-;-;21;8;9;9;21;6;8;13;1;-;1;2;105
"Total";58;32;182;51;60;30;65;38;20;355;69;57;540;112;66;1346;2274;576;2966;7218;793;1050;2819;196;122;263;821;22179
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
